lower_gross,payor_3c,box2_7d,box1_7d,variantA_7d,variantB_7d,reduction_current,reduction_A,reduction_B,implied_share_1.5,implied_share_2.0
48000.0,0.8111227188142731,1059.3123943335431,912.8652395063025,812.6418963593943,609.4814222695458,0.1382473721733205,0.23285906904670872,0.42464430178503154,0.3451312958621927,0.46162915160021284
46000.0,0.8177973075277312,1062.2166413745433,924.3283133023624,825.5580827490867,619.1685620618149,0.129811869538919,0.22279688474774095,0.4170976635608058,0.3433723007719564,0.4619785524609001
44000.0,0.8245826557366168,1065.1690820871936,935.6483492785413,838.5706564820795,628.9279923615596,0.12159640660509696,0.21273470044877352,0.40955102533658005,0.34170507716984583,0.46242447181153856
42000.0,0.8314815434557077,1068.1709261115243,946.8253474348395,851.6820368384333,638.761527628825,0.11360127458104541,0.20267251614980586,0.4020043871123544,0.34013208990335814,0.4629694532914455
40000.0,0.8384968445209409,1071.2234239110287,957.8593077712571,864.8947247451343,648.6710435588508,0.10582677115655292,0.1926103318508382,0.3944577488881287,0.33865589062738655,0.46361612910077515
38000.0,0.8456315305809877,1074.3278685094763,968.7502302877939,878.2113062497218,658.6584796872913,0.09827320068328949,0.18254814755187054,0.38691111066390294,0.3372791215995976,0.46436722384494517
36000.0,0.85288867529436,1077.4855973171586,979.4981149844499,891.634456172779,668.7258421295842,0.09094087436220832,0.172485963252903,0.3793644724396773,0.33600451967471645,0.46522555857962733
34000.0,0.8602714587445032,1080.6979940519852,990.1029618612253,905.166941950124,678.875206462593,0.08383011043731248,0.16242377895393556,0.37181783421545167,0.33483492050991404,0.4661940550685613
32000.0,0.8677831720862003,1083.9664907612241,1000.5647709181198,918.8116276762946,689.108720757221,0.07694123439603262,0.1523615946549678,0.3642711959912258,0.33377326299434484,0.46727574026730867
30000.0,0.8754272224375462,1087.292569950102,1010.883542155134,932.5714783617425,699.4286087713069,0.07027457917649027,0.14229941035600013,0.35672455776700007,0.33282259391681024,0.46847375104699424
28000.0,0.8832071380327753,1090.677766823898,1021.0592755722673,946.449564417027,709.8371733127701,0.06383048538191338,0.13223722605703248,0.34917791954277444,0.3319860728865268,0.46979133917308896
26000.0,0.8911265736523081,1094.1236716506692,1031.0919711695199,960.4490663782615,720.336799783696,0.05760930150250332,0.12217504175806482,0.3416312813185487,0.3312669775230551,0.4712318765553683
24000.0,0.8991893163475806,1097.631932252236,1040.9816289468918,974.5732798890876,730.9299599168158,0.05161138414505062,0.11211285745909727,0.33408464309432284,0.33066870893262046,0.4727988607863605
22000.0,0.9073992914794932,1101.2042566316338,1068.3888720162495,1068.3888720162495,793.087807858341,0.02979954392453965,0.02979954392453965,0.27979954392453965,,
20000.0,0.915760569090708,1104.8424157458257,1079.7193388227488,1079.7193388227488,803.5087348862924,0.02273905904139062,0.02273905904139062,0.2727390590413906,,
18000.0,0.9242773706335331,1108.5482464331396,1091.1174772023705,1091.1174772023705,813.9804155940857,0.015723960853173735,0.015723960853173735,0.26572396085317374,,
16000.0,0.9329540760767526,1112.3236545055936,1097.3236545055936,1097.3236545055936,819.2427408791953,0.013485283657540537,0.013485283657540537,0.2634852836575404,,
14000.0,0.9417952314165499,1116.1706180170459,1101.1706180170459,1101.1706180170459,822.1279635127844,0.013438805643037344,0.013438805643037344,0.26343880564303734,,
12000.0,0.9508055566185756,1120.0911907189516,1105.0911907189516,1105.0911907189516,825.0683930392137,0.01339176678139209,0.01339176678139209,0.2633917667813921,,
10000.0,0.9599899540203237,1124.0875057164,1109.0875057164,1109.0875057164,828.0656292873,0.013344156859425471,0.013344156859425471,0.2633441568594256,,
8000.0,0.9693535172252351,1128.161779338121,1113.1617793381213,1113.1617793381213,831.121334503591,0.013295965414463984,0.013295965414463984,0.263295965414464,,
6000.0,0.978901540522438,1132.3163152352001,1117.3163152352001,1117.3163152352001,834.2372364264002,0.013247181726675272,0.013247181726675272,0.26324718172667516,,
4000.0,0.9886395288687279,1136.5535087244377,1121.5535087244377,1121.5535087244377,837.4151315433282,0.013197794811116825,0.013197794811116825,0.2631977948111168,,
2000.0,0.9985732084723282,1140.8758513935563,1125.875851393556,1125.875851393556,840.656888545167,0.01314779340949157,0.01314779340949157,0.26314779340949157,,
