children,lower_gross,payor_3c,rule1_current,rule2_post_gross
3,10000.0,0.9599899540203237,0.9599899540203235,0.6792770128092284
3,12500.0,0.9485368507454139,0.9485368507454138,0.6725367230266515
3,15000.0,0.9373538066852788,0.9373538066852787,0.6659241694677096
3,17500.0,0.9264313813225944,0.9264313813225954,0.6595567689824415
3,20000.0,0.915760569090708,0.9157605690907076,0.6554506533086745
3,22500.0,0.9053327746096526,0.9053327746096526,0.6554279185997653
3,25000.0,0.8951397895950426,0.8951397895950428,0.650996268367894
3,27500.0,0.8851737713094749,0.885173771309475,0.6467124521580127
3,30000.0,0.8754272224375462,0.8754272224375469,0.6425716701642122
3,32500.0,0.865892972275951,0.8658929722759505,0.6385693281397236
3,35000.0,0.8565641591394885,0.856564159139488,0.634701026509251
3,37500.0,0.8474342138922524,0.847434213892252,0.630962550166064
3,40000.0,0.8384968445209409,0.8384968445209412,0.6273498589041271
3,42500.0,0.829746021674153,0.8297460216741531,0.6238590784396234
3,45000.0,0.8211759650978319,0.8211759650978316,0.6204864919799483
3,47500.0,0.8127811309027267,0.8127811309027265,0.617228532301616
3,50000.0,0.804556199604935,0.8045561996049352,0.6140817743015982
3,52500.0,0.7964960648853127,0.7964960648853124,0.6110429279894124
3,55000.0,0.7885958230178379,0.7885958230178385,0.6081088318898291
3,57500.0,0.7808507629209422,0.7808507629209426,0.6052764468284014
3,60000.0,0.7732563567893933,0.7732563567893931,0.602542850074148
3,62500.0,0.7658082512675882,0.7658082512675882,0.5999052298156689
3,65000.0,0.7585022591280987,0.7585022591280988,0.5974490447143801
3,67500.0,0.7513343514220482,0.7513343514220484,0.5950975807338514
3,70000.0,0.7443006500703994,0.7443006500703996,0.5928284880205427
3,72500.0,0.7373974208675264,0.7373974208675266,0.5906395077645664
3,75000.0,0.7306210668705523,0.730621066870552,0.5885284629969735
3,77500.0,0.7239681221498608,0.7239681221498604,0.6041208672052951
3,80000.0,0.7174352458779705,0.7174352458779705,0.6014959486712531
3,82500.0,0.7110192167355875,0.7110192167355872,0.5988950731486952
3,85000.0,0.7047169276151577,0.7047169276151578,0.596318196670586
3,87500.0,0.698525380603624,0.6985253806036242,0.5937652563597534
3,90000.0,0.6924416822273627,0.692441682227363,0.5912361721233734
3,92500.0,0.6864630389434566,0.686463038943457,0.5887308482155433
3,95000.0,0.6805867528625431,0.6805867528625431,0.5862491746784312
3,97500.0,0.6748102176894768,0.6748102176894766,0.5837910286716115
3,100000.0,0.6691309148689775,0.6691309148689774,0.581356275698387
3,102500.0,0.6635464099242859,0.6635464099242859,0.5789447707371693
3,105000.0,0.6580543489776459,0.6580543489776459,0.5765563592853181
3,107500.0,0.6526524554421634,0.6526524554421637,0.5741908783222363
3,110000.0,0.6473385268752768,0.6473385268752766,0.5718481571979571
3,112500.0,0.6421104319847002,0.6421104319847,0.569528018452959
3,115000.0,0.6369661077782905,0.6369661077782909,0.5672302785744744
3,117500.0,0.6319035568498289,0.631903556849829,0.5649547486941418
3,120000.0,0.6269208447932174,0.6269208447932177,0.5627012352314588
3,122500.0,0.622016097738055,0.6220160977380552,0.5604695404871437
3,125000.0,0.6171875,0.6171874999999997,0.558259463190184
3,127500.0,0.6124332918397278,0.612433291839728,0.5560707990020599
3,130000.0,0.6077517673246741,0.6077517673246738,0.5539033409813511
3,132500.0,0.6031412722881038,0.6031412722881035,0.5517568800116915
3,135000.0,0.5986002023803788,0.5986002023803788,0.5496312051958064
3,137500.0,0.5941270012075994,0.5941270012075995,0.5475261042181493
3,140000.0,0.5897201585530845,0.5897201585530847,0.5454413636784751
3,142500.0,0.5853782086774182,0.5853782086774182,0.543376769398496
3,145000.0,0.5810997286930488,0.581099728693049,0.5413321067036124
3,147500.0,0.5768833370096474,0.5768833370096476,0.5393071606815535
3,150000.0,0.572727691846661,0.5727276918466612,0.5373017164196308
